"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"912","GTLM","Laurens Vanthoor","116","51.530","1:43:31.885","Green","Track","0.463","0.826","9.646","10.446","13.301","5.236","8.908","2.704","149.838"
"23","GTD","Townsend Bell","111","1:03.877","1:43:31.887","Green","Track","0.000","0.000","13.057","11.557","14.465","5.680","9.797","2.865","0.000"
"67","GTLM","Ryan Briscoe","116","51.786","1:43:35.725","Green","Track","0.462","0.838","9.786","10.287","13.392","5.266","9.037","2.718","150.162"
"96","GTD","Jesse Krohn","100","53.211","1:43:40.339","Green","Track","0.477","0.851","9.947","10.611","13.801","5.412","9.305","2.807","145.440"
"66","GTLM","Joey Hand","113","52.074","1:43:43.089","Green","Track","0.466","0.828","9.694","10.330","13.415","5.326","9.252","2.763","148.873"
"73","GTD","Joerg Bergmeister","112","53.598","1:43:45.690","Green","Track","0.470","0.838","10.166","10.712","13.895","5.489","9.271","2.757","147.606"
"48","GTD","Bryan Sellers","112","53.286","1:43:46.212","Green","Track","0.473","0.842","9.939","10.677","13.789","5.471","9.308","2.787","146.670"
"50","GTD","Gunnar Jeannette","111","53.837","1:43:48.296","Green","Track","0.475","0.846","10.016","10.967","13.897","5.545","9.302","2.789","146.053"
"24","GTLM","Martin Tomczyk","116","52.532","1:43:49.729","Green","Track","0.464","0.828","9.704","10.817","13.854","5.249","8.912","2.704","149.515"
"28","GTD","Patrick Long","112","54.328","1:43:51.069","Green","Track","0.471","0.840","9.909","10.811","14.496","5.553","9.446","2.802","147.293"
"16","GTD","Jeroen Mul","111","53.265","1:43:56.441","Green","Track","0.467","0.834","10.011","10.807","13.807","5.408","9.177","2.754","148.555"
"3","GTLM","Antonio Garcia","117","53.389","1:44:06.364","Green","Track","0.461","0.823","10.036","10.679","13.785","5.597","9.278","2.730","150.488"
"007","GTD","James Davison","112","53.948","1:44:06.328","Green","Track","0.473","0.846","10.115","10.814","13.904","5.535","9.382","2.879","146.670"
"15","GTD","Robert Alon","112","53.938","1:44:07.999","Green","Track","0.476","0.845","10.112","10.829","13.987","5.504","9.400","2.785","145.746"
"63","GTD","Alessandro Balzan","112","54.371","1:44:11.707","Green","Track","0.477","0.856","10.458","10.918","13.983","5.492","9.398","2.789","145.440"
