"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SPS"
"66","GTLM","Dirk Mueller","7","2:04.286","14:37.842","Green","Track","5.385","9.931","20.332","0.495","22.323","28.157","20.712","12.072","4.879","166.093"
"25","GTLM","Alexander Sims","7","2:04.287","14:38.742","Green","Track","5.376","9.952","20.284","0.498","22.461","28.213","20.576","12.081","4.846","165.092"
"912","GTLM","Gianmaria Bruni","7","2:04.172","14:39.493","Green","Track","5.406","9.935","20.351","0.497","22.500","28.123","20.655","11.861","4.844","165.424"
"911","GTLM","Patrick Pilet","7","2:04.041","14:39.971","Green","Track","5.382","9.921","20.247","0.494","22.471","28.135","20.570","11.972","4.849","166.429"
"67","GTLM","Ryan Briscoe","7","2:04.479","14:42.280","Green","Track","5.341","9.953","20.404","0.492","22.382","28.328","20.693","12.048","4.838","167.106"
"4","GTLM","Oliver Gavin","7","2:05.540","14:49.300","Yellow","Track","5.438","9.995","20.452","0.504","22.584","28.658","20.881","12.138","4.890","163.127"
"24","GTLM","Martin Tomczyk","7","2:04.368","14:49.653","Yellow","Track","5.291","10.177","20.264","0.498","22.291","28.175","20.588","12.114","4.970","165.092"
"3","GTLM","Jan Magnussen","7","2:06.411","14:51.536","Yellow","Track","5.364","10.571","20.549","0.498","22.785","28.734","21.049","12.008","4.853","165.092"
"96","GTD","Jesse Krohn","7","2:14.080","15:12.150","Yellow","Track","5.494","10.347","20.862","0.516","23.169","29.213","21.457","15.615","7.407","159.333"
"26","PC","Mark Kvamme","7","2:14.500","15:12.970","Yellow","Track","5.404","10.399","20.822","0.534","23.226","29.467","21.642","15.433","7.573","153.962"
"73","GTD","Patrick Lindsey","7","2:12.144","15:15.377","Yellow","Track","5.490","10.262","20.878","0.505","23.139","29.527","21.826","13.690","6.827","162.804"
"16","GTD","Jeroen Mul","7","2:15.414","15:19.772","Yellow","Track","5.472","10.466","20.805","0.503","23.143","29.480","23.135","15.352","7.058","163.451"
"15","GTD","Scott Pruett","7","2:15.916","15:21.353","Yellow","Track","5.502","10.351","20.896","0.506","23.340","29.385","23.239","15.201","7.496","162.482"
"63","GTD","Christina Nielsen","7","2:15.547","15:22.363","Yellow","Track","5.478","10.428","20.830","0.506","23.077","29.849","22.785","15.735","6.859","162.482"
"57","GTD","Andrew Davis","7","2:15.657","15:22.922","Yellow","Track","5.478","10.476","20.766","0.503","23.287","29.625","22.918","15.711","6.893","163.451"
"14","GTD","Robert Alon","7","2:15.829","15:23.772","Yellow","Track","5.462","10.442","20.897","0.507","23.403","29.438","22.884","15.840","6.956","162.162"
"86","GTD","Oswaldo Negri Jr.","7","2:17.105","15:26.007","Yellow","Track","5.504","10.501","21.003","0.508","23.237","29.379","23.134","16.027","7.812","161.842"
"28","GTD","Michael de Quesada","7","2:11.971","15:31.542","Yellow","Track","5.470","10.739","20.857","0.506","23.414","30.075","22.598","13.302","5.010","162.482"
"50","GTD","Cooper MacNeil","7","2:13.689","15:32.873","Yellow","Track","5.526","10.658","21.307","0.514","24.016","30.047","22.624","13.744","5.253","159.953"
"33","GTD","Ben Keating","7","2:13.104","15:33.241","Yellow","Track","5.554","10.500","21.097","0.511","23.669","30.235","22.645","13.654","5.239","160.892"
"75","GTD","Kenny Habul","7","2:12.153","15:35.898","Yellow","Track","5.610","10.305","21.002","0.516","23.374","30.196","22.877","13.118","5.155","159.333"
"10","P","Ricky Taylor","8","2:36.333","16:13.629","Yellow","Track","5.028","9.397","18.883","0.474","21.200","31.667","38.590","20.797","10.297","173.451"
"54","GTD","Jonathan Bennett","7","2:44.857","16:14.285","Yellow","Track","5.495","10.765","21.188","0.507","23.873","33.147","38.615","20.976","10.291","162.162"
"52","P","Jose Gutierrez","8","2:33.825","16:15.969","Yellow","Track","5.002","9.240","19.110","0.465","21.618","27.973","38.240","21.184","10.993","176.808"
"22","P","Johannes van Overbeek","8","2:34.922","16:17.629","Yellow","Track","4.975","9.338","19.153","0.463","21.520","28.546","37.785","21.643","11.499","177.572"
"2","P","Scott Sharp","8","2:35.250","16:18.997","Yellow","Track","4.975","9.361","18.918","0.461","21.457","30.568","36.650","21.115","11.745","178.343"
"31","P","Eric Curran","8","2:33.028","16:20.248","Yellow","Track","5.035","9.270","19.126","0.467","21.486","29.264","35.015","21.141","12.224","176.051"
