"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP4","SP5"
"75","GTD","Tristan Vautier","35","2:09.436","1:25:28.874","Green","Track","1.466","20.712","24.871","9.545","9.835","0.458","4.682","0.419","23.370","25.433","8.645","146.512","160.149"
"50","GTD","Gunnar Jeannette","35","2:10.721","1:25:29.595","Green","Track","1.474","20.766","24.955","9.556","9.838","0.461","4.706","0.422","24.016","25.847","8.680","145.558","159.010"
"25","GTLM","Bill Auberlen","36","2:08.212","1:25:30.540","Green","Track","1.436","20.291","25.897","9.469","9.707","0.447","4.574","0.410","22.852","24.574","8.555","150.117","163.664"
"96","GTD","Jens Klingmann","35","2:10.350","1:25:30.831","Green","Track","1.450","20.609","25.100","9.823","9.787","0.454","4.630","0.416","23.706","25.859","8.516","147.802","161.304"
"22","P","Johannes van Overbeek","36","2:01.468","1:25:32.792","Green","Track","1.326","19.040","22.987","9.165","8.848","0.413","4.222","0.382","23.265","23.965","7.855","162.475","175.660"
"86","GTD","Oswaldo Negri Jr.","35","2:11.985","1:25:33.287","Green","Track","1.463","21.098","25.937","9.860","9.775","0.451","4.637","0.423","23.863","25.757","8.721","148.786","158.634"
"14","GTD","Sage Karam","35","2:11.185","1:25:35.237","Green","Track","1.464","20.875","25.107","9.765","9.930","0.459","4.667","0.422","23.906","25.861","8.730","146.192","159.010"
"80","GTD","Mike Skeen","35","2:11.361","1:25:35.910","Green","Track","1.474","20.825","25.171","9.731","9.916","0.460","4.687","0.415","24.217","25.728","8.744","145.875","161.692"
"54","GTD","Colin Braun","35","2:11.193","1:25:37.152","Green","Track","1.451","20.842","25.518","9.696","9.818","0.451","4.591","0.423","23.793","25.834","8.776","148.786","158.634"
"52","P","Jose Gutierrez","7","1:59.789","1:25:42.454","Green","Track","1.340","19.446","22.762","9.039","9.050","0.418","4.303","0.386","22.473","22.573","7.999","160.532","173.840"
"10","P","Ricky Taylor","37","1:58.979","1:25:45.803","Green","Track","1.344","18.982","22.829","9.115","8.974","0.422","4.374","0.420","22.126","22.558","7.836","159.010","159.767"
"15","GTD","Jack Hawksworth","35","2:27.930","1:25:50.682","Green","Pit","1.464","20.936","25.289","9.635","9.823","0.451","4.613","0.420","24.119","25.378","25.802","148.786","159.767"
"5","P","Joao Barbosa","37","1:59.446","1:25:55.186","Green","Track","1.334","18.860","22.687","9.014","8.916","0.417","4.266","0.384","22.333","23.456","7.779","160.917","174.746"
"66","GTLM","Joey Hand","35","2:06.062","1:25:55.427","Green","Track","1.465","20.167","23.929","9.284","9.787","0.458","4.687","0.421","22.635","24.750","8.477","146.512","159.388"
"991","GTD","Harry Gottsacker","35","2:14.034","1:25:55.365","Green","Track","1.489","21.531","26.309","10.008","9.997","0.464","4.762","0.427","24.222","26.086","8.739","144.617","157.148"
"31","P","Dane Cameron","37","1:59.377","1:25:55.647","Green","Track","1.334","18.782","22.776","9.152","8.924","0.416","4.262","0.382","22.534","23.009","7.806","161.304","175.660"
"90","P","Marc Goossens","37","1:59.700","1:26:01.092","Green","Track","1.365","19.068","22.560","9.003","9.158","0.429","4.416","0.397","22.119","23.168","8.017","156.416","169.023"
"2","P","Scott Sharp","37","1:59.998","1:26:02.108","Green","Track","1.323","18.982","22.992","9.122","8.947","0.417","4.270","0.381","22.427","23.214","7.923","160.917","176.121"
"85","P","Stephen Simpson","37","2:00.082","1:26:02.593","Green","Track","1.320","19.202","22.917","9.139","8.901","0.410","4.213","0.382","22.555","23.121","7.922","163.664","175.660"
"24","GTLM","Martin Tomczyk","36","2:05.659","1:26:40.865","Green","Track","1.442","19.920","24.035","9.233","9.674","0.451","4.626","0.415","22.864","24.510","8.489","148.786","161.692"
"911","GTLM","Dirk Werner","36","2:05.532","1:26:50.781","Green","Track","1.457","19.952","24.334","9.229","9.721","0.455","4.656","0.416","22.630","24.179","8.503","147.478","161.304"
"26","PC","Nicholas Boulle","37","2:05.238","1:27:03.769","Green","Track","1.403","19.916","24.242","9.408","9.405","0.441","4.555","0.410","23.068","24.100","8.290","152.159","163.664"
