"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"73","GTD","Patrick Lindsey","12","1:33.291","19:04.008","Green","Track","3.637","12.825","0.562","14.255","10.679","9.719","0.563","13.531","10.433","10.343","2.374","4.370","140.731","144.114"
"96","GTD","Bret Curtis","12","1:33.946","19:04.991","Green","Track","3.568","13.158","0.563","14.092","10.841","9.639","0.558","13.699","10.608","10.440","2.396","4.384","140.481","145.406"
"86","GTD","Oswaldo Negri Jr.","12","1:32.783","19:05.422","Green","Track","3.417","12.594","0.559","13.767","10.656","9.652","0.564","13.695","10.663","10.418","2.392","4.406","141.486","143.859"
"15","GTD","Robert Alon","12","1:31.979","19:06.154","Green","Track","3.385","12.688","0.559","13.744","10.474","9.695","0.560","13.512","10.388","10.199","2.393","4.382","141.486","144.886"
"54","GTD","Jonathan Bennett","12","1:34.752","19:17.071","Green","Track","3.568","13.095","0.570","14.245","10.713","9.674","0.564","13.991","10.781","10.731","2.402","4.418","138.756","143.859"
"38","PC","James French","13","1:27.849","19:27.012","Green","Track","3.221","11.921","0.538","13.299","10.140","9.063","0.537","13.149","9.929","9.694","2.221","4.137","147.009","151.092"
"20","PC","Don Yount","12","1:34.885","19:35.216","Green","Track","3.860","12.688","0.557","14.480","10.955","9.312","0.546","14.189","10.721","10.948","2.360","4.269","141.994","148.601"
"22","P","Ed Brown","13","1:30.307","19:58.263","Green","Track","3.171","12.018","0.519","13.972","10.573","8.936","0.518","13.258","10.821","10.290","2.206","4.025","152.391","156.634"
"75","GTD","Kenny Habul","11","1:34.169","20:01.095","Green","Track","3.410","12.664","0.572","14.863","10.734","9.903","0.577","13.927","10.339","10.369","2.382","4.429","138.271","140.618"
"57","GTD","Lawson Aschenbach","13","1:31.767","20:06.668","Green","Track","3.371","12.626","0.568","13.557","10.451","9.843","0.576","13.431","10.239","10.243","2.404","4.458","139.245","140.862"
