"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP3"
"55","P","Spencer Pigot","159","1:51.408","4:48:19.531","Green","Pit","2.981","8.238","11.223","3.556","0.460","12.720","20.428","29.443","6.232","16.127","178.607"
"27","GTD","Paolo Ruberti","147","1:46.268","4:48:21.317","Green","Track","3.286","8.768","12.569","3.915","0.504","13.785","22.001","32.209","5.806","3.425","163.014"
"33","GTD","Jeroen Bleekemolen","147","1:46.138","4:48:23.842","Green","Track","3.292","8.784","12.571","3.949","0.510","13.796","21.838","32.101","5.872","3.425","161.096"
"86","GTD","Jeff Segal","148","1:46.127","4:48:26.658","Green","Track","3.288","8.881","12.547","3.934","0.507","13.741","21.961","32.026","5.825","3.417","162.049"
"93","GTD","Andy Lally","148","1:45.300","4:48:27.595","Green","Track","3.272","8.717","12.477","3.911","0.508","13.727","21.606","31.834","5.833","3.415","161.730"
"5","P","Joao Barbosa","159","1:38.495","4:48:31.877","Green","Track","3.062","8.465","11.905","3.706","0.475","12.460","19.985","29.622","5.628","3.187","172.967"
"31","P","Dane Cameron","149","1:38.034","4:48:32.183","Green","Track","2.991","8.318","12.245","3.747","0.476","12.403","19.861","29.221","5.618","3.154","172.603"
"96","GTD","Jens Klingmann","148","1:46.071","4:48:32.623","Green","Track","3.261","8.740","12.501","3.937","0.509","13.723","21.739","32.045","6.166","3.450","161.413"
"63","GTD","Alessandro Balzan","148","1:46.217","4:48:39.172","Green","Track","3.264","8.679","12.784","4.000","0.514","13.954","21.756","32.013","5.843","3.410","159.843"
"57","GTD","Lawson Aschenbach","148","1:46.465","4:48:39.915","Green","Track","3.304","8.815","12.483","3.908","0.506","13.998","22.043","32.147","5.830","3.431","162.370"
"24","GTLM","John Edwards","153","1:43.033","4:48:42.106","Green","Track","3.208","8.697","12.181","3.885","0.502","13.220","21.097","31.280","5.654","3.309","163.664"
"38","PC","Kyle Masson","154","1:42.554","4:48:44.966","Green","Track","3.203","8.436","12.096","4.180","0.550","13.587","20.937","31.044","5.335","3.186","149.380"
"25","GTLM","Alexander Sims","153","1:44.019","4:48:46.208","Green","Track","3.179","8.497","12.173","3.865","0.515","13.601","21.237","31.847","5.798","3.307","159.532"
