"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"90","P","Renger Van Der Zande","38","1:21.637","52:22.959","Green","Track","1.566","0.452","3.778","25.171","18.254","14.178","8.088","10.150","146.822"
"25","GTLM","Bill Auberlen","36","1:24.818","52:23.888","Green","Track","1.709","0.493","3.946","25.469","19.608","14.251","8.649","10.693","134.612"
"67","GTLM","Richard Westbrook","36","1:24.777","52:24.253","Green","Track","1.728","0.497","3.968","25.424","19.616","14.512","8.505","10.527","133.528"
"75","GTD","Tristan Vautier","34","1:26.991","52:26.779","Green","Track","1.760","0.509","4.019","26.436","20.204","14.495","8.707","10.861","130.380"
"24","GTLM","Martin Tomczyk","36","1:25.624","52:26.890","Green","Track","1.706","0.490","3.999","26.352","19.517","14.255","8.589","10.716","135.436"
"57","GTD","Andrew Davis","35","1:28.007","52:28.537","Green","Track","1.753","0.506","4.088","26.838","20.416","14.743","8.682","10.981","131.153"
"912","GTLM","Gianmaria Bruni","36","1:24.370","52:30.932","Green","Track","1.725","0.499","3.984","25.531","19.443","14.173","8.490","10.525","132.993"
"4","GTLM","Oliver Gavin","36","1:24.644","52:33.682","Green","Track","1.719","0.495","3.955","25.610","19.481","14.236","8.451","10.697","134.068"
"73","GTD","Joerg Bergmeister","35","1:25.969","52:35.231","Green","Track","1.726","0.499","3.974","26.223","19.743","14.426","8.673","10.705","132.993"
"3","GTLM","Antonio Garcia","36","1:24.774","52:36.194","Green","Track","1.714","0.495","4.015","25.747","19.447","14.383","8.431","10.542","134.068"
"14","GTD","Robert Alon","35","1:28.090","52:39.028","Green","Track","1.765","0.510","4.083","26.732","20.158","15.058","8.867","10.917","130.125"
"96","GTD","Jens Klingmann","35","1:28.083","52:39.381","Green","Track","1.739","0.501","4.128","26.677","19.998","15.070","9.041","10.929","132.462"
"15","GTD","Jack Hawksworth","35","1:26.840","52:41.478","Green","Track","1.756","0.508","3.962","26.264","19.902","14.703","8.721","11.024","130.637"
"63","GTD","Alessandro Balzan","35","1:25.770","52:45.269","Green","Track","1.737","0.503","3.989","25.974","19.770","14.447","8.610","10.740","131.936"
"85","P","Misha Goikhberg","38","1:20.449","52:57.332","Green","Track","1.563","0.453","3.734","24.320","18.140","13.887","8.039","10.313","146.498"
"2","P","Ryan Dalziel","38","1:19.733","52:58.057","Green","Track","1.575","0.456","3.736","24.236","18.021","13.562","7.946","10.201","145.534"
"48","GTD","Madison Snow","35","2:13.503","53:07.390","Green","Pit","1.784","0.512","4.153","27.161","20.062","14.735","9.815","55.281","129.616"
"28","GTD","Daniel Morad","36","1:29.317","53:08.141","Green","Track","1.732","0.500","4.018","27.007","20.559","15.361","8.926","11.214","132.727"
"54","GTD","Colin Braun","35","1:26.222","53:08.905","Green","Track","1.757","0.508","3.996","26.059","19.861","14.465","8.768","10.808","130.637"
"33","GTD","Jeroen Bleekemolen","35","1:26.044","53:11.052","Green","Track","1.773","0.512","3.970","25.977","19.878","14.373","8.760","10.801","129.616"
"22","P","Johannes van Overbeek","38","1:20.925","53:22.609","Green","Track","1.561","0.453","3.731","24.531","18.253","14.137","7.991","10.268","146.498"
"10","P","Jordan Taylor","39","1:20.845","53:24.488","Green","Track","1.591","0.461","3.695","24.611","18.287","13.932","0.000","0.000","143.956"
"52","P","Olivier Pla","38","1:21.217","53:30.075","Green","Track","1.593","0.459","3.780","24.906","18.737","13.642","7.931","10.169","144.583"
"93","GTD","Katherine Legge","36","1:28.446","53:30.110","Green","Track","1.754","0.505","4.004","27.015","20.354","14.967","8.907","10.940","131.413"
"80","GTD","Mike Skeen","34","1:27.184","53:33.075","Green","Track","1.790","0.517","4.051","26.341","20.118","14.618","8.833","10.916","128.363"
"5","P","Joao Barbosa","39","1:20.464","53:35.187","Green","Track","1.590","0.459","3.755","24.135","18.621","13.823","7.988","10.093","144.583"
"16","GTD","Jeroen Mul","36","1:27.394","53:38.260","Green","Track","1.770","0.510","3.951","26.378","20.057","14.966","8.777","10.985","130.125"
"62","GTLM","Giancarlo Fisichella","37","1:25.200","53:39.654","Green","Track","1.717","0.497","4.240","25.635","19.627","14.495","8.469","10.520","133.528"
"66","GTLM","Joey Hand","37","1:23.993","53:40.991","Green","Track","1.712","0.494","4.022","25.314","19.268","14.144","8.510","10.529","134.339"
"31","P","Dane Cameron","39","1:20.029","53:41.290","Green","Track","1.596","0.461","3.797","24.095","18.525","13.504","0.000","0.000","143.956"
"90","P","Renger Van Der Zande","39","1:19.189","53:42.148","Green","Track","1.578","0.456","3.680","23.877","17.948","13.683","7.808","10.159","145.534"
"911","GTLM","Dirk Werner","37","1:25.098","53:44.100","Green","Track","1.722","0.500","3.997","25.517","19.646","14.721","8.448","10.547","132.727"
"25","GTLM","Bill Auberlen","37","1:23.810","53:47.698","Green","Track","1.711","0.493","3.925","25.376","19.231","14.057","8.387","10.630","134.612"
"67","GTLM","Richard Westbrook","37","1:24.587","53:48.840","Green","Track","1.715","0.492","3.909","25.614","19.645","14.224","8.445","10.543","134.885"
"24","GTLM","Martin Tomczyk","37","1:24.159","53:51.049","Green","Track","1.694","0.489","3.974","25.610","19.132","14.107","8.458","10.695","135.713"
"75","GTD","Tristan Vautier","35","1:26.852","53:53.631","Green","Track","1.768","0.512","4.135","26.292","20.092","14.558","8.638","10.857","129.616"
"57","GTD","Andrew Davis","36","1:27.035","53:55.572","Green","Track","1.758","0.508","3.978","26.341","20.024","14.773","8.648","11.005","130.637"
"912","GTLM","Gianmaria Bruni","37","1:24.840","53:55.772","Green","Track","1.717","0.497","3.959","25.294","19.469","14.743","8.516","10.645","133.528"
