"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"23","P","Phil Hanson","3","1:42.368","7:43.740","Green","Track","10.979","23.086","20.056","7.081","5.854","5.591","9.613","6.466","5.702","4.770","0.430","2.740","190.275"
"24","GTLM","Augusto Farfus","3","1:53.074","7:45.655","Green","Track","12.672","26.772","20.787","7.731","6.421","6.292","10.264","7.090","6.234","5.163","0.471","3.177","173.712"
"29","GTD","Christopher Mies","4","1:48.325","7:50.308","Green","Track","11.623","24.073","20.374","7.886","6.451","5.905","10.061","7.096","6.266","5.177","0.465","2.948","175.953"
"37","P","Lance Stroll","4","1:40.004","8:04.661","Green","Track","10.415","21.968","19.421","7.076","5.880","5.469","9.462","6.536","5.794","4.793","0.432","2.758","189.394"
"44","GTD","John Potter","4","1:49.610","8:08.883","Green","Track","11.393","24.601","20.893","8.017","6.529","5.909","10.126","7.224","6.304","5.180","0.465","2.969","175.953"
"73","GTD","Norbert Siedler","3","1:49.641","8:10.310","Green","Track","11.694","24.528","20.805","7.890","6.470","5.983","10.270","7.125","6.248","5.179","0.466","2.983","175.575"
"38","P","Kyle Masson","4","1:39.444","8:12.576","Green","Track","10.666","22.132","19.391","7.038","5.851","5.436","8.913","6.405","5.690","4.756","0.430","2.736","190.275"
"52","P","Gustavo Yacaman","4","1:41.637","8:14.777","Green","Track","11.367","22.643","19.677","7.080","5.858","5.445","9.488","6.447","5.694","4.762","0.429","2.747","190.718"
"6","P","Dane Cameron","1","8:15.916","8:15.916","Green","Pit","0.000","28.402","21.639","7.151","5.867","5.719","10.218","6.474","5.689","8.201","0.000","0.000","0.000"
"85","P","Robert Alon","3","1:43.655","8:25.178","Green","Track","11.187","23.980","20.240","7.240","5.907","5.540","9.414","6.440","5.743","4.783","0.431","2.750","189.833"
"33","GTD","Jeroen Bleekemolen","4","1:47.830","8:31.471","Green","Track","11.350","23.968","20.550","7.790","6.412","5.930","9.881","7.081","6.235","5.187","0.468","2.978","174.825"
"62","GTLM","Toni Vilander","4","1:45.109","8:32.167","Green","Track","11.064","23.523","19.785","7.715","6.308","5.821","9.441","6.945","6.097","5.053","0.456","2.901","179.426"
"75","GTD","Maro Engel","4","1:48.469","8:35.821","Green","Track","11.581","24.106","20.572","7.811","6.424","5.915","10.078","7.113","6.240","5.183","0.468","2.978","174.825"
"66","GTLM","Joey Hand","4","1:44.062","8:37.763","Green","Track","10.823","23.166","19.583","7.585","6.295","5.803","9.459","6.846","6.069","5.062","0.458","2.913","178.642"
"15","GTD","Jack Hawksworth","4","1:47.675","8:42.586","Green","Track","11.390","24.038","20.427","7.816","6.450","5.935","9.658","7.088","6.249","5.188","0.467","2.969","175.200"
"64","GTD","Frank Montecalvo","3","1:50.264","8:48.072","Green","Track","11.855","24.722","21.001","7.838","6.425","5.902","10.481","7.190","6.249","5.174","0.466","2.961","175.575"
"63","GTD","Jeff Segal","2","1:50.479","8:48.451","Green","Track","12.102","24.868","20.982","7.854","6.417","5.986","10.518","7.084","6.202","5.104","0.459","2.903","178.253"
"69","GTD","Sean Rayhall","3","1:50.205","8:48.543","Green","Track","12.116","24.960","20.964","7.848","6.451","5.978","10.292","7.027","6.153","5.053","0.455","2.908","179.820"
"51","GTD","Pedro Lamy","4","1:48.142","8:50.085","Green","Track","11.472","24.346","20.634","7.803","6.359","5.843","10.071","7.034","6.146","5.082","0.455","2.897","179.820"
"82","GTD","Martin Fuentes","4","1:48.901","8:51.747","Green","Track","11.577","24.616","20.759","7.791","6.345","5.828","10.286","7.030","6.172","5.119","0.459","2.919","178.253"
"90","P","Edward Cheever","3","4:02.996","8:56.196","Green","Pit","30.106","29.630","22.813","7.316","5.928","5.561","10.401","6.617","5.882","7.439","0.000","0.000","0.000"
"67","GTLM","Richard Westbrook","4","1:44.329","8:58.012","Green","Track","11.008","23.139","19.919","7.600","6.248","5.771","9.357","6.857","6.054","5.024","0.455","2.897","179.820"
