"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"62","GTLM","Alessandro Pier Guidi","19","1:46.298","51:40.679","Green","Track","11.427","23.589","19.871","7.800","6.437","5.920","9.396","7.026","6.234","5.162","0.465","2.971","175.953"
"44","GTD","Andrew Davis","25","2:03.020","51:43.925","Green","Pit","11.567","24.585","20.880","7.896","6.407","5.842","9.978","7.170","6.234","7.717","0.000","0.000","0.000"
"22","P","Nicolas Lapierre","21","1:52.924","51:46.348","Green","Pit","11.123","21.717","19.031","6.982","5.829","5.411","8.643","6.321","5.678","8.329","0.000","0.000","0.000"
"73","GTD","Timothy Pappas","22","1:54.973","51:47.415","Green","Track","12.219","26.092","23.029","7.923","6.492","6.038","10.956","7.209","6.305","5.226","0.471","3.013","173.712"
"82","GTD","Miguel Molina","24","3:30.489","51:49.704","Green","Track","111.615","25.800","20.914","7.767","6.335","5.857","10.375","7.083","6.191","5.137","0.463","2.952","176.713"
"64","GTD","Bill Sweedler","23","1:50.723","51:50.361","Green","Track","11.868","24.612","20.957","7.871","6.471","6.025","10.887","7.169","6.252","5.177","0.466","2.968","175.575"
"48","GTD","Bryce Miller","24","1:48.762","51:53.104","Green","Track","11.562","24.327","20.913","7.802","6.389","5.903","10.088","7.068","6.210","5.117","0.460","2.923","177.866"
"4","GTLM","Marcel Fassler","21","1:45.715","51:54.335","Green","Track","11.172","23.494","19.862","7.707","6.398","5.908","9.431","6.947","6.210","5.158","0.466","2.962","175.575"
"11","GTD","Rik Breukers","25","1:48.971","51:55.978","Green","Track","11.579","24.389","21.272","7.821","6.320","5.760","10.222","7.056","6.154","5.046","0.452","2.900","181.014"
"32","P","Hugo de Sadeleer","25","4:50.034","51:58.477","Green","Track","200.005","22.829","19.625","7.093","5.869","5.422","9.262","6.368","5.673","4.736","0.426","2.726","192.061"
"51","GTD","Mathias Lauda","24","1:49.192","51:58.893","Green","Track","11.535","24.830","20.845","7.767","6.358","5.857","10.220","7.040","6.183","5.141","0.465","2.951","175.953"
"6","P","Juan Pablo Montoya","27","1:38.298","51:59.875","Green","Track","10.275","22.071","19.125","7.005","5.771","5.278","8.928","6.322","5.668","4.725","0.426","2.704","192.061"
"7","P","Helio Castroneves","28","1:39.948","52:01.011","Green","Track","10.359","22.142","19.208","7.046","5.854","5.386","9.906","6.427","5.716","4.754","0.428","2.722","191.164"
"911","GTLM","Frederic Makowiecki","20","1:44.882","52:03.210","Green","Track","10.977","23.413","19.591","7.628","6.328","5.807","9.578","6.924","6.143","5.112","0.456","2.925","179.426"
"10","P","Jordan Taylor","12","1:37.043","52:12.660","Green","Track","10.347","21.684","18.987","6.922","5.751","5.317","8.508","6.197","5.574","4.651","0.420","2.685","194.805"
"96","GTD","Mark Kvamme","23","1:51.320","52:19.111","Green","Track","12.065","24.907","21.359","7.900","6.495","6.039","10.316","7.198","6.305","5.248","0.473","3.015","172.977"
"19","GTD","Ezequiel Perez Companc","22","1:49.284","52:21.798","Green","Track","11.627","25.018","20.934","7.791","6.354","5.811","10.114","7.025","6.163","5.079","0.455","2.913","179.820"
"52","P","Nicholas Boulle","23","6:15.442","52:23.191","Green","Pit","11.398","22.718","19.797","7.086","5.855","5.494","9.901","6.464","5.774","8.937","0.000","0.000","0.000"
"3","GTLM","Mike Rockenfeller","19","1:45.259","52:29.528","Green","Track","11.135","23.349","19.638","7.655","6.376","5.883","9.453","6.980","6.206","5.146","0.465","2.973","175.953"
"71","GTD","Loris Spinelli","24","1:48.371","52:38.124","Green","Track","11.446","24.042","20.401","7.880","6.478","5.986","9.870","7.228","6.325","5.245","0.472","2.998","173.344"
"85","P","Devlin DeFrancesco","24","1:39.058","52:43.662","Green","Track","10.506","22.024","19.285","7.000","5.857","5.446","9.027","6.316","5.680","4.751","0.428","2.738","191.164"
"38","P","Kyle Masson","22","1:39.567","52:51.276","Green","Track","10.697","22.377","19.546","6.988","5.832","5.422","8.801","6.311","5.668","4.756","0.430","2.739","190.275"
"99","P","Chris Miller","17","7:24.572","52:51.301","Green","Pit","10.544","0.000","0.000","7.134","5.880","5.513","9.579","6.460","5.710","8.434","0.000","0.000","0.000"
"78","P","Ferdinand Habsburg-Lothringen","30","1:39.663","52:57.324","Green","Track","10.293","22.460","20.085","6.993","5.823","5.411","8.736","6.318","5.660","4.727","0.425","2.732","192.513"
"55","P","Jonathan Bomarito","21","1:39.882","52:58.219","Green","Track","10.314","22.177","20.085","7.018","5.890","5.575","8.800","6.345","5.693","4.788","0.432","2.765","189.394"
"37","P","Daniel Juncadella","29","1:38.539","52:59.189","Green","Track","10.305","22.086","19.153","7.100","5.868","5.413","8.590","6.405","5.697","4.758","0.429","2.735","190.718"
"5","P","Joao Barbosa","21","1:38.651","52:59.941","Green","Track","10.535","22.127","19.532","6.960","5.716","5.309","8.849","6.250","5.588","4.672","0.421","2.692","194.342"
"69","GTD","Chad Gilsinger","23","1:50.770","53:04.289","Green","Track","11.772","24.947","21.389","7.790","6.415","5.979","10.495","7.114","6.241","5.177","0.471","2.980","173.712"
"58","GTD","Mathieu Jaminet","22","3:38.262","53:07.818","Green","Track","117.816","25.813","21.278","7.780","6.424","6.098","11.025","7.117","6.253","5.203","0.468","2.987","174.825"
"2","P","Ryan Dalziel","21","1:38.183","53:15.874","Green","Track","10.385","0.000","0.000","6.961","5.838","5.431","8.694","6.342","5.679","4.738","0.426","2.729","192.061"
"75","GTD","Mikael Grenier","19","2:07.179","53:15.945","Green","Track","27.563","0.000","0.000","7.909","6.530","6.049","10.241","7.192","6.341","5.261","0.473","3.035","172.977"
"54","P","Loic Duval","25","1:38.260","53:17.927","Green","Track","10.306","0.000","0.000","7.028","5.836","5.422","8.462","6.339","5.663","4.760","0.430","2.736","190.275"
"31","P","Eric Curran","23","8:40.425","53:19.016","Green","Pit","10.924","0.000","0.000","7.010","5.800","5.476","9.171","6.271","5.635","8.709","0.000","0.000","0.000"
"86","GTD","Trent Hindman","23","3:32.535","53:26.716","Green","Pit","11.833","25.077","21.213","7.859","6.469","5.972","9.764","7.029","6.228","8.477","0.000","0.000","0.000"
"62","GTLM","Alessandro Pier Guidi","20","1:46.247","53:26.926","Green","Track","11.282","0.000","0.000","7.723","6.418","5.901","9.256","7.027","6.228","5.178","0.000","2.981","0.000"
"82","GTD","Miguel Molina","25","1:48.756","53:38.460","Green","Track","11.609","24.179","20.951","7.823","6.376","5.911","9.971","7.074","6.231","5.180","0.467","2.984","175.200"
"6","P","Juan Pablo Montoya","28","1:39.341","53:39.216","Green","Track","10.339","21.854","19.120","7.015","5.774","5.357","9.546","6.654","5.782","4.746","0.427","2.727","191.612"
"32","P","Hugo de Sadeleer","26","1:41.078","53:39.555","Green","Track","10.566","22.361","19.440","7.098","5.852","5.528","9.960","6.565","5.814","4.740","0.426","2.728","192.061"
"7","P","Helio Castroneves","29","1:39.397","53:40.408","Green","Track","10.440","22.132","19.971","7.059","5.855","5.398","8.668","6.334","5.624","4.744","0.431","2.741","189.833"
"4","GTLM","Marcel Fassler","22","1:46.475","53:40.810","Green","Track","11.114","23.637","19.852","7.680","6.346","5.864","9.915","7.101","6.333","5.189","0.469","2.975","174.452"
